,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,,,
Country,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan ,Feb,Mar,Total cases,Cases per million,Total lab-positive cases
Austria,27,38,8,4,7,1,2,2,3,2,7,5,106,12.0,99
Belgium,32,93,61,26,14,12,30,34,22,32,16,2,374,32.6,253
Bulgaria,279,281,236,84,42,17,5,21,34,81,82,69,1231,175.9,1125
Croatia,0,6,4,10,4,14,12,1,0,0,0,0,51,12.5,51
Cyprus,1,3,1,0,0,0,0,0,0,0,1,0,6,6.9,5
Czech Republic,90,49,20,14,4,2,1,4,0,0,3,0,187,17.6,160
Denmark,2,1,1,0,0,0,0,0,0,4,0,0,8,1.4,8
Estonia,0,6,7,1,1,0,0,0,1,0,0,0,16,12.1,15
Finland,2,0,0,0,0,0,0,2,2,2,2,0,10,1.8,10
France,339,554,465,312,109,56,61,49,40,86,76,49,2196,32.8,1369
Germany,70,48,21,21,19,17,6,6,6,16,25,17,272,3.3,227
Greece,12,6,0,0,0,12,3,1,1,1,0,1,37,3.5,22
Hungary,2,9,0,1,0,0,0,0,0,0,0,0,12,1.2,12
Iceland,0,0,0,1,0,0,0,0,1,0,0,0,2,5.6,2
Ireland,6,5,2,2,1,3,9,7,3,1,12,4,55,11.2,20
Italy,309,236,216,152,77,20,7,10,12,52,34,9,1134,18.8,980
Latvia,1,0,0,0,2,0,0,0,0,0,0,0,3,1.6,3
Lithuania,231,125,62,33,39,6,2,2,0,1,0,1,502,179.7,502
Luxembourg,7,1,1,0,0,0,1,0,0,0,0,0,10,16.3,10
Malta,13,11,3,0,1,0,0,1,0,0,2,0,31,62.8,31
Netherlands,2,13,17,10,17,3,0,4,0,1,1,0,68,3.9,54
Norway,3,3,1,0,2,0,0,0,0,3,1,0,13,2.4,13
Poland,289,249,124,41,9,5,6,2,8,5,7,6,751,19.8,464
Portugal,0,2,1,0,0,0,0,0,1,5,2,0,11,1.1,10
Romania,110,148,123,110,80,112,100,79,90,255,164,97,1468,75.6,961
Slovakia,105,43,9,3,6,3,0,0,0,0,0,0,169,31.0,147
Slovenia,6,8,3,1,1,0,0,7,22,5,1,0,54,26.0,54
Spain,68,99,34,13,12,6,1,3,10,10,10,0,266,5.7,249
Sweden,6,4,2,2,0,1,0,0,0,2,3,0,20,2.0,19
United Kingdom,119,129,115,87,42,29,49,15,26,50,-,-,-,-,-
EU/EEA 30,2131,2170,1537,928,489,319,295,250,282,614,-,-,9015,-,-
EU/EEA 29,2012,2041,1422,841,447,290,246,235,256,564,449,260,9063,20.0,6875
United Kingdom,119,129,115,87,42,29,49,15,26,50,23,8,692,10.4,691
